代码,转债名称,现价,涨跌幅,正股名称,正股价,转股溢价率,债券评级,债底溢价率,到期时间,到期税前收益,剩余年限,剩余规模(亿元),双低,回售收益,回售触发价,基金持仓,强赎触发价,成交额(万元),换手率,操作,期权价值,正股PB,正股波动率,正股涨跌,纯债价值,资产负债率,转债占比,转股价,转股价值
123211,阳谷转债!,178.449,1.61%,阳谷华泰,14.49,15.64%,AA-,-,29-07-27,-9.87%,3.92年,3.072,194.09,增强,6.57,会员,12.21,12219.52,22.18%,,增强,1.82,会员,0.42%,会员,会员,4.90%,9.39,154.31
127092,运机转债!,230.118,3.01%,运机集团,24.05,15.68%,AA-,-,29-09-21,-14.84%,4.08年,5.251,245.80,增强,8.46,会员,15.72,11033.99,9.15%,,增强,2.50,会员,1.01%,会员,会员,14.40%,12.09,198.92
118051,皓元转债!,178.710,4.07%,皓元医药R,62.54,15.87%,AA-,-,30-11-28,-7.81%,5.26年,8.219,194.58,增强,28.39,会员,52.72,27391.94,18.81%,,增强,4.49,会员,6.27%,会员,会员,6.20%,40.55,154.23
118043,福立转债!,214.980,1.30%,福立旺R,27.64,15.89%,AA-,-,29-08-14,-13.96%,3.97年,4.281,230.87,增强,10.43,会员,19.37,35166.04,37.87%,,增强,3.88,会员,1.73%,会员,会员,6.00%,14.90,185.50
123203,明电转02!,172.930,4.71%,明阳电路R,17.57,15.94%,AA-,-,29-07-03,-8.68%,3.86年,1.472,188.87,增强,8.25,会员,15.31,17665.08,70.07%,,增强,2.54,会员,2.69%,会员,会员,2.60%,11.78*,149.15
113685,升24转债,137.797,-0.29%,旭升集团R,14.84,16.16%,AA-,-,30-06-14,-3.52%,4.81年,25.409,153.96,增强,8.76,会员,16.26,10018.48,2.84%,,增强,2.03,会员,-0.60%,会员,会员,18.00%,12.51,118.63
118029,富淼转债,144.288,-0.30%,富淼科技R,22.89,16.17%,A,-,28-12-15,-7.01%,3.31年,4.500,160.46,增强,12.90,会员,23.96,4548.70,6.98%,,增强,1.98,会员,-2.47%,会员,会员,16.10%,18.43*,124.20
111017,蓝天转债,141.139,0.16%,蓝天燃气,10.17,16.30%,AA,-,29-08-15,-5.25%,3.98年,6.715,157.44,增强,5.87,会员,10.89,2879.93,3.03%,,增强,1.94,会员,0.30%,会员,会员,9.20%,8.38,121.36
118030,睿创转债!,211.672,0.39%,睿创微纳R,71.29,16.42%,AA,-,28-12-30,-17.07%,3.35年,14.694,228.09,增强,27.45,会员,50.97,23693.53,7.52%,,增强,5.86,会员,-0.92%,会员,会员,4.50%,39.21,181.82
127076,中宠转2!,256.424,1.84%,中宠股份R,60.45,16.48%,AA-,-,28-10-25,-22.46%,3.17年,4.838,272.90,增强,19.22,会员,35.70,29490.13,23.81%,,增强,6.38,会员,-0.54%,会员,会员,2.60%,27.46,220.14
123207,冠中转债,131.888,-0.36%,冠中生态R,11.82,16.49%,A-,-,29-07-21,-2.41%,3.91年,3.997,148.38,增强,7.31,会员,13.57,6403.51,12.08%,,增强,2.07,会员,-1.17%,会员,会员,25.90%,10.44*,113.22
127095,广泰转债,140.328,0.12%,威海广泰,11.02,16.51%,AA-,-,29-10-18,-3.83%,4.15年,6.928,156.84,增强,6.41,会员,11.90,2911.42,2.99%,,增强,1.85,会员,0.27%,会员,会员,13.10%,9.15,120.44
111019,宏柏转债,139.249,0.21%,宏柏新材R,6.52,16.61%,AA-,-,30-04-17,-3.26%,4.65年,7.204,155.86,增强,3.82,会员,7.10,4931.13,4.90%,,增强,1.97,会员,-0.31%,会员,会员,17.00%,5.46*,119.41
123222,博俊转债!,214.784,2.18%,博俊科技R,30.71,16.66%,A+,-,29-09-08,-13.69%,4.04年,2.441,231.44,增强,11.68,会员,21.68,22585.01,42.82%,,增强,5.05,会员,3.82%,会员,会员,2.80%,16.68,184.11
123177,测绘转债!,161.400,-0.35%,测绘股份,18.19,16.68%,A+,-,29-03-02,-8.33%,3.52年,1.299,178.08,增强,9.21,会员,17.10,4193.95,19.94%,,增强,2.22,会员,-0.87%,会员,会员,4.40%,13.15,138.33
127079,华亚转债!,175.381,-0.20%,华亚智能,46.16,16.68%,A+,-,28-12-16,-11.00%,3.31年,3.107,192.06,增强,21.50,会员,39.92,5366.36,9.84%,,增强,3.48,会员,-1.11%,会员,会员,8.40%,30.71**,150.31
123223,九典转02,152.594,-0.20%,九典制药,19.54,16.75%,A+,-,29-09-15,-6.16%,4.06年,2.053,169.34,增强,10.47,会员,19.44,10236.68,32.58%,,增强,3.69,会员,-0.56%,会员,会员,2.80%,14.95,130.70
127037,银轮转债!,444.975,4.48%,银轮股份R,39.56,16.87%,AA,-,27-06-07,-54.13%,1.78年,5.056,461.85,增强,7.27,会员,13.51,75677.41,34.50%,,增强,5.07,会员,5.66%,会员,会员,1.60%,10.39,380.75
123221,力诺转债!,160.700,2.42%,力诺药包R,19.51,16.97%,A+,-,29-08-23,-8.71%,4.00年,4.056,177.67,增强,9.94,会员,18.46,13471.20,20.95%,,增强,2.91,会员,-0.91%,会员,会员,8.70%,14.20,137.39
118050,航宇转债!,179.700,3.10%,航宇科技R,38.36,16.98%,AA-,-,30-08-21,-7.93%,4.99年,6.668,196.68,增强,17.48,会员,32.46,22027.12,18.37%,,增强,3.89,会员,3.40%,会员,会员,9.10%,24.97,153.62
113686,泰瑞转债,145.639,-0.35%,泰瑞机器,10.14,17.05%,AA-,-,30-07-02,-3.98%,4.86年,3.365,162.69,增强,5.71,会员,10.60,3550.08,7.21%,,增强,2.06,会员,-0.69%,会员,会员,11.30%,8.15,124.42
113052,兴业转债,126.937,-0.01%,兴业银行R,22.95,17.20%,AAA,-,27-12-27,-5.02%,2.34年,413.500,144.14,增强,-,会员,27.55,51339.33,0.98%,,增强,0.54,会员,0.79%,会员,会员,8.50%,21.19,108.31
127071,天箭转债,145.469,1.37%,中天火箭,65.65,17.22%,AA+,-,28-08-22,-8.67%,3.00年,4.949,162.69,增强,37.03,会员,68.77,72622.66,100.20%,,增强,6.30,会员,4.97%,会员,会员,4.90%,52.90,124.10
127107,领益转债,174.100,9.57%,领益智造R,13.56,17.22%,AA+,-,30-11-18,-8.11%,5.24年,21.373,191.32,增强,6.39,会员,11.87,225073.63,61.77%,,增强,4.66,会员,9.98%,会员,会员,2.30%,9.13,148.52
123178,花园转债,138.400,1.17%,花园生物R,15.87,17.30%,AA-,-,29-03-06,-4.15%,3.53年,11.760,155.70,增强,9.42,会员,17.49,8851.65,5.44%,,增强,2.58,会员,1.60%,会员,会员,13.90%,13.45*,117.99
110093,神马转债,135.171,0.13%,神马股份R,9.33,17.50%,AAA,-,29-03-16,-5.52%,3.56年,29.997,152.67,增强,5.68,会员,10.54,10571.56,2.60%,,增强,1.34,会员,-0.11%,会员,会员,32.00%,8.11,115.04
127045,牧原转债,133.662,0.35%,牧原股份R,51.38,17.54%,AA+,-,27-08-16,-10.08%,1.98年,95.431,151.20,增强,31.63,会员,58.73,26686.14,2.09%,,增强,3.57,会员,2.05%,会员,会员,4.90%,45.18,113.72
118039,煜邦转债,137.093,-0.31%,煜邦电力R,8.50,17.74%,A,-,29-07-20,-3.88%,3.90年,4.104,154.83,增强,5.11,会员,9.49,3681.61,6.50%,,增强,3.30,会员,-0.23%,会员,会员,14.40%,7.30,116.44
113672,福蓉转债,149.161,-0.49%,福蓉科技,10.34,17.86%,AA,-,29-07-18,-7.14%,3.90年,3.934,167.02,增强,5.72,会员,10.62,5499.77,9.31%,,增强,4.78,会员,-0.86%,会员,会员,3.80%,8.17,126.56
118048,利扬转债!,176.088,3.12%,利扬芯片R,24.06,17.97%,A+,-,30-07-02,-7.75%,4.86年,4.856,194.06,增强,11.28,会员,20.96,53327.57,62.52%,,增强,4.40,会员,3.04%,会员,会员,9.90%,16.12,149.26
113047,旗滨转债,139.310,-0.02%,旗滨集团R,6.41,18.01%,AA+,-,27-04-09,-12.82%,1.62年,14.981,157.32,增强,3.80,会员,7.06,11095.25,5.27%,,增强,1.24,会员,1.10%,会员,会员,8.70%,5.43**,118.05
127084,柳工转2!,183.169,-0.56%,柳工R,11.33,18.01%,AAA,-,29-03-27,-11.99%,3.59年,24.823,201.18,增强,5.11,会员,9.49,16616.43,3.64%,,增强,1.28,会员,0.80%,会员,会员,10.80%,7.30,155.21
123149,通裕转债,134.513,0.07%,通裕重工R,3.10,18.02%,AA,-,28-06-20,-5.39%,2.82年,14.841,152.53,增强,1.90,会员,3.54,10327.58,5.16%,,增强,1.75,会员,1.64%,会员,会员,12.90%,2.72,113.97
123059,银信转债!,172.500,-0.81%,银信科技,13.36,18.14%,AA-,-,26-07-15,-35.70%,0.89年,1.569,190.64,增强,6.41,会员,11.90,5905.91,21.63%,,增强,3.60,会员,-0.52%,会员,会员,2.60%,9.15,146.01
123217,富仕转债,142.000,0.42%,四会富仕,35.49,18.20%,AA-,-,29-08-08,-5.46%,3.96年,5.699,160.20,增强,20.68,会员,38.40,6512.35,8.04%,,增强,3.09,会员,0.65%,会员,会员,11.70%,29.54,120.14
127086,恒邦转债,133.231,1.09%,恒邦股份R,12.60,18.32%,AA+,-,29-06-12,-4.56%,3.80年,31.592,151.55,增强,7.83,会员,14.55,17961.67,4.26%,,增强,1.45,会员,2.11%,会员,会员,27.50%,11.19,112.60
127039,北港转债,138.000,0.86%,北部湾港R,8.59,18.72%,AAA,-,27-06-29,-11.75%,1.84年,10.799,156.72,增强,5.17,会员,9.61,6415.06,4.29%,,增强,1.14,会员,2.51%,会员,会员,6.80%,7.39,116.24
127089,晶澳转债,128.906,0.39%,晶澳科技R,12.64,18.92%,AA+,-,29-07-18,-3.62%,3.90年,89.592,147.83,增强,8.16,会员,15.16,35412.44,3.06%,,增强,1.61,会员,3.02%,会员,会员,21.40%,11.66*,108.40
113597,佳力转债,144.843,0.21%,佳力图,10.55,19.17%,AA-,-,26-07-30,-20.01%,0.93年,2.974,164.01,增强,6.08,会员,11.28,8554.47,19.79%,,增强,3.03,会员,1.44%,会员,会员,5.20%,8.68*,121.54
113649,丰山转债,137.999,0.03%,丰山集团,15.90,19.17%,AA-,-,28-06-27,-5.30%,2.84年,4.591,157.17,增强,9.61,会员,17.85,4378.63,6.88%,,增强,1.64,会员,-0.25%,会员,会员,17.50%,13.73,115.80
111005,富春转债!,155.000,-2.61%,富春染织,15.56,19.34%,AA-,-,28-06-23,-11.12%,2.83年,5.298,174.34,增强,8.39,会员,15.57,8444.22,10.17%,,增强,1.60,会员,-0.32%,会员,会员,17.50%,11.98*,129.88
118041,星球转债,138.100,-1.10%,星球石墨R,26.75,19.46%,A+,-,29-07-31,-3.72%,3.93年,6.198,157.56,增强,16.20,会员,30.08,5982.53,6.94%,,增强,2.38,会员,-1.55%,会员,会员,16.10%,23.14,115.60
123173,恒锋转债,146.112,-0.59%,恒锋信息,16.84,19.48%,A-,-,28-12-30,-5.76%,3.35年,2.408,165.59,增强,9.64,会员,17.90,7356.06,20.78%,,增强,5.68,会员,-0.77%,会员,会员,12.00%,13.77,122.29
128127,文科转债,125.840,-0.56%,文科股份,4.65,19.62%,A-,-,26-08-20,-8.76%,0.99年,8.038,145.46,增强,3.09,会员,5.75,7430.26,7.32%,,增强,13.06,会员,-2.92%,会员,会员,36.60%,4.42*,105.20
127093,章鼓转债,148.200,-0.80%,山东章鼓R,12.54,19.95%,A+,-,29-10-17,-5.35%,4.15年,2.425,168.15,增强,7.11,会员,13.20,8000.81,22.06%,,增强,3.02,会员,-0.40%,会员,会员,6.90%,10.15,123.55
110094,众和转债,141.424,1.08%,新疆众和R,7.84,19.96%,AA,-,29-07-18,-5.44%,3.90年,9.944,161.38,增强,4.66,会员,8.65,6297.93,4.45%,,增强,0.98,会员,2.08%,会员,会员,9.00%,6.65*,117.89
123107,温氏转债,129.654,-0.41%,温氏股份R,17.92,20.03%,AAA,-,27-03-29,-10.01%,1.59年,77.064,149.68,增强,11.61,会员,21.57,21852.51,2.17%,,增强,2.76,会员,1.19%,会员,会员,7.20%,16.59,108.02
118006,阿拉转债,141.297,-0.42%,阿拉丁R,15.76,20.05%,A+,-,28-03-15,-6.53%,2.56年,3.870,161.35,增强,9.37,会员,17.41,4549.72,8.29%,,增强,4.89,会员,-0.63%,会员,会员,7.40%,13.39**,117.70
127096,泰坦转债!,155.280,-1.10%,泰坦股份,17.14,20.22%,A,-,29-10-25,-5.95%,4.17年,2.920,175.50,增强,9.29,会员,17.25,13129.62,28.58%,,增强,2.54,会员,-1.15%,会员,会员,7.90%,13.27,129.16
110097,天润转债!,165.896,-1.15%,天润乳业,11.31,20.42%,AA,-,30-10-24,-6.95%,5.17年,9.890,186.32,增强,5.75,会员,10.67,13604.34,8.27%,,增强,1.49,会员,-1.65%,会员,会员,27.70%,8.21,137.76
118016,京源转债!,167.900,0.83%,京源环保R,9.63,20.48%,A,-,28-08-05,-11.08%,2.95年,1.675,188.38,增强,4.84,会员,8.98,12788.36,45.54%,,增强,2.53,会员,-1.03%,会员,会员,7.40%,6.91,139.36
127015,希望转债,114.560,0.05%,新希望R,10.07,20.48%,AAA,-,26-01-03,-20.98%,0.36年,9.494,135.04,增强,7.41,会员,13.77,3835.38,3.51%,,增强,1.76,会员,0.80%,会员,会员,2.10%,10.59*,95.09
113658,密卫转债,135.425,0.56%,密尔克卫R,62.58,20.58%,AA-,-,27-09-16,-7.94%,2.06年,8.719,156.01,增强,39.00,会员,72.44,7343.30,6.22%,,增强,2.17,会员,2.10%,会员,会员,8.80%,55.72*,112.31
127026,超声转债,137.762,0.02%,超声电子R,13.96,20.59%,AA,-,26-12-08,-16.36%,1.29年,6.997,158.35,增强,8.55,会员,15.89,4551.27,4.71%,,增强,1.56,会员,0.87%,会员,会员,9.30%,12.22,114.24
113676,荣23转债,135.066,0.06%,荣晟环保,12.44,20.63%,AA-,-,29-08-18,-3.16%,3.98年,5.758,155.70,增强,7.78,会员,14.44,4134.54,5.30%,,增强,1.42,会员,-0.32%,会员,会员,17.00%,11.11*,111.97
113033,利群转债,117.453,0.17%,利群股份,4.71,20.70%,AA,-,26-04-01,-10.62%,0.60年,12.967,138.15,增强,3.39,会员,6.29,5990.61,3.91%,,增强,1.02,会员,0.64%,会员,会员,30.10%,4.84*,97.31
118013,道通转债!,214.112,2.16%,道通科技R,39.95,20.86%,AA,-,28-07-08,-18.89%,2.87年,12.797,234.97,增强,15.79,会员,29.32,23127.52,8.49%,,增强,7.27,会员,1.37%,会员,会员,4.80%,22.55,177.16
110074,精达转债!,310.677,2.11%,精达股份R,8.61,20.88%,AA,-,26-08-19,-65.20%,0.98年,2.701,331.56,增强,2.35,会员,4.36,15299.65,18.29%,,增强,3.15,会员,0.12%,会员,会员,1.50%,3.35,257.01
123189,晓鸣转债,140.814,1.09%,晓鸣股份R,22.53,20.88%,A,-,29-04-06,-4.78%,3.62年,3.287,161.69,增强,13.54,会员,25.14,10151.17,22.00%,,增强,4.64,会员,2.36%,会员,会员,11.70%,19.34,116.49
127105,龙星转债,135.043,0.79%,龙星科技,6.48,20.88%,AA-,-,30-01-31,-2.73%,4.44年,7.540,155.92,增强,4.06,会员,7.54,8070.11,7.93%,,增强,1.74,会员,-0.31%,会员,会员,23.80%,5.80,111.72
118012,微芯转债!,184.299,0.62%,微芯生物R,38.51,20.89%,A+,-,28-07-05,-14.32%,2.86年,4.998,205.19,增强,17.68,会员,32.84,25940.88,28.03%,,增强,10.05,会员,0.03%,会员,会员,3.20%,25.26,152.45
110082,宏发转债,138.335,0.40%,宏发股份R,25.99,20.93%,AA,-,27-10-28,-8.18%,2.17年,19.994,159.27,增强,15.90,会员,29.54,6480.47,2.33%,,增强,3.81,会员,1.09%,会员,会员,5.30%,22.72*,114.39
111018,华康转债,141.089,0.97%,华康股份,19.20,20.95%,AA-,-,29-12-25,-3.78%,4.34年,13.022,162.04,增强,11.52,会员,21.40,6896.42,3.75%,,增强,1.80,会员,1.86%,会员,会员,22.70%,16.46,116.65
113654,永02转债,141.274,-0.48%,永创智能,11.30,21.14%,AA-,-,28-08-04,-6.43%,2.94年,6.104,162.41,增强,6.78,会员,12.60,4542.09,5.24%,,增强,2.18,会员,-0.09%,会员,会员,11.20%,9.69*,116.62
118021,新致转债!,287.715,-1.28%,新致软件R,25.08,21.14%,A,-,28-09-27,-25.67%,3.09年,1.991,308.86,增强,7.39,会员,13.73,91814.09,156.43%,,增强,4.47,会员,-2.45%,会员,会员,3.00%,10.56,237.50
123237,佳禾转债!,176.472,1.89%,佳禾智能,19.60,21.19%,A+,-,30-01-04,-9.00%,4.36年,4.316,197.66,增强,9.42,会员,17.50,9385.74,12.31%,,增强,2.44,会员,-0.05%,会员,会员,5.90%,13.46*,145.62
123146,中环转2,130.351,0.02%,中环环保,6.70,21.21%,AA-,-,28-05-06,-3.35%,2.70年,8.592,151.56,增强,4.36,会员,8.10,6230.63,5.54%,,增强,1.23,会员,0.45%,会员,会员,34.20%,6.23*,107.54
123076,强力转债,143.125,-0.10%,强力新材R,14.97,21.43%,AA-,-,26-11-19,-16.45%,1.24年,5.826,164.56,增强,8.89,会员,16.51,11631.08,13.88%,,增强,4.28,会员,0.60%,会员,会员,9.80%,12.70*,117.87
123233,凯盛转债,142.156,0.31%,凯盛新材R,23.42,21.46%,AA-,-,29-11-29,-4.02%,4.27年,6.499,163.62,增强,14.01,会员,26.01,10481.06,11.30%,,增强,5.76,会员,0.47%,会员,会员,7.10%,20.01,117.04
118045,盟升转债!,246.208,3.50%,盟升电子R,42.43,21.51%,A,-,29-09-12,-17.13%,4.05年,1.239,267.72,增强,14.66,会员,27.22,37484.06,125.08%,,增强,4.46,会员,1.65%,会员,会员,1.70%,20.94**,202.63
127094,红墙转债,144.099,0.07%,红墙股份,12.38,21.52%,A+,-,29-10-18,-4.29%,4.15年,3.012,165.62,增强,7.31,会员,13.57,8093.41,18.61%,,增强,1.57,会员,-0.96%,会员,会员,17.50%,10.44,118.58
123240,楚天转债,134.766,-0.32%,楚天科技R,8.87,21.54%,AA,-,30-01-30,-3.62%,4.44年,10.000,156.31,增强,5.60,会员,10.40,6322.46,4.67%,,增强,1.21,会员,0.00%,会员,会员,19.60%,8.00**,110.88
111020,合顺转债,143.667,0.46%,聚合顺,12.51,21.62%,AA-,-,30-07-22,-3.70%,4.91年,3.380,165.29,增强,7.41,会员,13.77,5397.09,11.15%,,增强,2.01,会员,-0.40%,会员,会员,8.60%,10.59,118.13
110096,豫光转债!,183.581,4.22%,豫光金铅R,8.97,21.77%,AA,-,30-08-12,-9.01%,4.97年,7.099,205.35,增强,4.17,会员,7.74,16393.19,12.72%,,增强,1.71,会员,3.94%,会员,会员,7.30%,5.95,150.76
113640,苏利转债,140.677,0.61%,苏利股份,19.87,21.78%,AA-,-,28-02-16,-6.80%,2.48年,9.102,162.46,增强,12.04,会员,22.36,5429.66,4.24%,,增强,1.48,会员,-0.05%,会员,会员,25.10%,17.20*,115.52
118044,赛特转债,142.931,0.77%,赛特新材R,22.18,21.80%,A+,-,29-09-11,-4.77%,4.05年,4.420,164.73,增强,13.23,会员,24.57,8457.49,13.44%,,增强,3.19,会员,2.02%,会员,会员,11.90%,18.90*,117.35
118031,天23转债,127.230,-0.48%,天合光能R,16.71,21.82%,AA,-,29-02-13,-1.87%,3.47年,88.645,149.05,增强,11.20,会员,20.80,55441.68,4.88%,,增强,1.45,会员,-0.18%,会员,会员,24.30%,16.00**,104.44
127070,大中转债,137.222,0.53%,大中矿业,12.12,21.82%,AA,-,28-08-17,-5.75%,2.98年,15.190,159.04,增强,7.53,会员,13.99,12235.04,5.83%,,增强,2.81,会员,0.33%,会员,会员,9.70%,10.76,112.64
123225,翔丰转债,140.122,0.16%,翔丰华R,31.54,21.91%,AA-,-,29-10-10,-3.17%,4.13年,5.735,162.03,增强,19.21,会员,35.67,5935.84,7.37%,,增强,1.73,会员,-0.19%,会员,会员,16.70%,27.44*,114.94
123157,科蓝转债,156.180,0.31%,科蓝软件R,20.48,22.09%,A,-,28-08-30,-8.64%,3.02年,2.341,178.27,增强,11.21,会员,20.81,19557.54,53.02%,,增强,12.11,会员,1.14%,会员,会员,2.50%,16.01,127.92
110070,凌钢转债,133.575,1.49%,凌钢股份R,2.15,22.39%,AA,-,26-04-13,-25.52%,0.63年,2.170,155.97,增强,1.38,会员,2.56,4589.01,15.84%,,增强,1.14,会员,2.38%,会员,会员,3.60%,1.97*,109.14
113056,重银转债,126.138,-0.49%,重庆银行,9.95,22.58%,AAA,-,28-03-23,-3.86%,2.58年,129.987,148.72,增强,-,会员,12.57,22622.02,1.37%,,增强,0.56,会员,0.00%,会员,会员,69.50%,9.67,102.90
127040,国泰转债,131.100,3.19%,江苏国泰R,8.36,22.63%,AA+,-,27-07-07,-9.15%,1.87年,39.870,153.73,增强,5.47,会员,10.17,47733.28,9.05%,,增强,0.85,会员,10.00%,会员,会员,29.90%,7.82,106.91
110067,华安转债,141.051,-0.37%,华安证券R,6.68,22.89%,AAA,-,26-03-12,-44.50%,0.55年,27.992,163.94,增强,-,会员,7.57,16990.96,4.25%,,增强,1.37,会员,0.91%,会员,会员,9.00%,5.82*,114.78
113689,洛凯转债,153.750,1.46%,洛凯股份,19.18,22.89%,AA-,-,30-10-17,-4.79%,5.15年,4.029,176.64,增强,10.73,会员,19.93,8706.59,13.94%,,增强,2.78,会员,0.26%,会员,会员,13.10%,15.33,125.11
123061,航新转债,145.276,0.32%,航新科技,17.52,22.89%,A-,-,26-07-22,-20.77%,0.91年,1.675,168.17,增强,10.37,会员,19.27,3052.13,12.50%,,增强,5.61,会员,1.27%,会员,会员,3.90%,14.82,118.22
123158,宙邦转债,142.782,3.47%,新宙邦R,47.38,23.71%,AA,-,28-09-26,-7.09%,3.09年,19.694,166.49,增强,28.74,会员,53.37,69987.97,24.71%,,增强,3.52,会员,9.85%,会员,会员,7.70%,41.05,115.42
123215,铭利转债,140.282,0.42%,铭利达R,21.76,23.78%,AA-,-,29-08-03,-3.44%,3.94年,8.555,164.06,增强,13.44,会员,24.96,5085.80,4.21%,,增强,4.74,会员,-0.59%,会员,会员,21.80%,19.20*,113.33
123112,万讯转债,143.200,-0.77%,万讯自控,9.60,23.81%,AA-,-,27-04-08,-10.25%,1.62年,2.265,167.01,增强,5.81,会员,10.79,2800.84,8.59%,,增强,2.63,会员,-1.54%,会员,会员,9.90%,8.30,115.66
113687,振华转债!,290.900,4.83%,振华股份R,19.26,23.85%,AA,-,30-07-12,-17.60%,4.88年,4.060,314.75,增强,5.74,会员,10.66,64412.99,55.34%,,增强,4.08,会员,2.94%,会员,会员,3.00%,8.20,234.88
110095,双良转债,129.550,-0.95%,双良节能R,6.44,24.32%,AA-,-,29-08-08,-3.17%,3.96年,25.774,153.87,增强,4.33,会员,8.03,15336.26,4.57%,,增强,2.62,会员,-1.68%,会员,会员,21.40%,6.18**,104.21
113688,国检转债,137.300,0.22%,国检集团,7.17,24.85%,AA+,-,30-10-17,-3.19%,5.15年,7.998,162.15,增强,4.56,会员,8.48,9206.44,8.33%,,增强,2.81,会员,-0.42%,会员,会员,13.90%,6.52,109.97
123230,金钟转债,138.450,-1.21%,金钟股份R,26.96,25.05%,A,-,29-11-09,-3.24%,4.21年,3.498,163.50,增强,17.05,会员,31.66,7409.19,15.20%,,增强,2.54,会员,-1.79%,会员,会员,13.50%,24.35*,110.72
128137,洁美转债,140.369,-0.31%,洁美科技R,29.80,25.11%,AA-,-,26-11-04,-16.33%,1.20年,5.986,165.48,增强,18.59,会员,34.53,6497.25,7.73%,,增强,4.29,会员,-0.10%,会员,会员,5.00%,26.56,112.20
111015,东亚转债,128.800,0.40%,东亚药业,20.87,25.16%,A+,-,29-07-06,-2.00%,3.87年,6.662,153.96,增强,14.20,会员,26.36,4313.38,5.02%,,增强,1.29,会员,-0.05%,会员,会员,28.40%,20.28*,102.91
123212,立中转债,134.176,0.88%,立中集团R,19.97,25.37%,AA-,-,29-07-27,-3.38%,3.92年,8.997,159.55,增强,13.06,会员,24.26,6866.88,5.68%,,增强,1.71,会员,2.94%,会员,会员,8.10%,18.66*,107.02
113677,华懋转债!,217.246,5.96%,华懋科技R,58.44,25.50%,AA-,-,29-09-14,-14.42%,4.06年,10.500,242.75,增强,23.63,会员,43.89,119219.70,52.62%,,增强,6.12,会员,8.62%,会员,会员,5.50%,33.76,173.10
128095,恩捷转债,127.116,0.65%,恩捷股份R,32.24,26.21%,AA,-,26-02-11,-28.91%,0.47年,4.527,153.33,增强,22.41,会员,41.61,4709.25,8.14%,,增强,1.26,会员,1.10%,会员,会员,1.70%,32.01*,100.72
110090,爱迪转债,140.313,-0.27%,爱柯迪R,19.70,26.28%,AA,-,28-09-23,-6.70%,3.08年,15.697,166.59,增强,12.41,会员,23.05,8411.37,3.79%,,增强,2.28,会员,-0.25%,会员,会员,8.20%,17.73,111.11
128116,瑞达转债,144.500,-0.72%,瑞达期货,23.45,26.32%,AA,-,26-06-29,-28.30%,0.84年,6.489,170.82,增强,14.35,会员,26.65,5275.95,5.60%,,增强,3.46,会员,-0.30%,会员,会员,6.20%,20.50*,114.39
118008,海优转债,132.522,0.41%,海优新材R,49.06,26.42%,A,-,28-06-23,-3.85%,2.83年,6.939,158.94,增强,32.76,会员,60.84,8870.45,9.57%,,增强,2.66,会员,1.62%,会员,会员,16.80%,46.80***,104.83
123128,首华转债,129.600,0.14%,首华燃气,12.44,26.57%,AA-,-,27-11-01,-6.07%,2.19年,13.403,156.17,增强,8.51,会员,15.80,8885.58,5.12%,,增强,1.68,会员,0.97%,会员,会员,39.70%,12.15**,102.39
127072,博实转债,146.238,0.73%,博实股份R,17.40,26.57%,AA,-,28-09-22,-7.32%,3.08年,4.498,172.81,增强,10.54,会员,19.58,3305.29,5.01%,,增强,4.50,会员,1.58%,会员,会员,3.10%,15.06,115.54
127041,弘亚转债,130.797,0.42%,弘亚数控,17.87,26.63%,AA-,-,26-07-12,-13.69%,0.88年,5.999,157.43,增强,12.11,会员,22.49,5266.71,6.70%,,增强,2.56,会员,-0.50%,会员,会员,11.60%,17.30*,103.29
123199,山河转债,135.888,0.06%,山河药辅,14.26,26.74%,A+,-,29-06-12,-4.94%,3.80年,3.198,162.63,增强,9.31,会员,17.29,1950.62,4.47%,,增强,3.51,会员,0.49%,会员,会员,12.00%,13.30*,107.22
123092,天壕转债,137.753,-0.11%,天壕能源R,5.41,26.81%,A+,-,26-12-24,-11.49%,1.33年,3.423,164.56,增强,3.49,会员,6.47,3412.99,7.22%,,增强,1.09,会员,0.00%,会员,会员,7.60%,4.98,108.63
123193,海能转债,135.911,0.71%,海能实业,15.73,27.01%,AA-,-,29-04-13,-3.54%,3.64年,5.997,162.92,增强,10.29,会员,19.11,11408.04,13.96%,,增强,2.96,会员,0.64%,会员,会员,20.00%,14.70,107.01
123129,锦鸡转债,147.460,-0.70%,锦鸡股份,9.19,27.08%,A+,-,27-11-04,-10.63%,2.19年,1.937,174.54,增强,4.75,会员,9.50120%,7101.41,24.75%,,增强,2.49,会员,-1.29%,会员,会员,5.70%,7.92*,116.04
123234,中能转债,130.828,-0.31%,中能电气,5.66,27.13%,A+,-,29-12-11,-2.12%,4.30年,3.998,157.96,增强,3.85,会员,7.15,3809.30,7.25%,,增强,2.57,会员,-0.53%,会员,会员,18.30%,5.50*,102.91
113621,彤程转债,147.900,1.10%,彤程新材R,36.11,27.42%,AA,-,27-01-26,-18.06%,1.42年,5.363,175.32,增强,21.78,会员,40.44,4612.85,5.84%,,增强,6.31,会员,-0.30%,会员,会员,2.50%,31.11,116.07
113588,润达转债,185.850,1.56%,润达医疗R,18.90,27.54%,AA,-,26-06-17,-51.16%,0.81年,2.343,213.39,增强,9.08,会员,16.86,18771.66,43.07%,,增强,2.65,会员,3.00%,会员,会员,2.10%,12.97,145.72
